N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"57,900",100,+0.17%,100,"3,456,504","5,969,783",55.98,"10,575,641",18.12,8.69,
2,SK하이닉스,"82,900","1,400",-1.66%,"5,000","603,514","728,002",48.65,"3,192,532",26.40,4.25,
3,NAVER,"295,000","1,000",+0.34%,100,"484,577","164,263",55.30,"640,384",68.76,10.56,
4,삼성바이오로직스,"675,000","2,000",+0.30%,"2,500","446,614","66,165",10.17,"108,349",130.03,4.77,
5,LG화학,"627,000","16,000",+2.62%,"5,000","442,614","70,592",36.87,"488,608",108.08,1.84,
6,삼성전자우,"50,700",400,+0.80%,100,"417,204","822,887",86.94,"1,898,812",15.86,N/A,
7,현대차,"170,000","1,500",-0.87%,"5,000","363,236","213,668",31.41,"2,059,498",24.50,4.32,
8,셀트리온,"258,500","8,500",+3.40%,"1,000","348,959","134,994",21.28,"1,150,447",87.18,11.19,
9,카카오,"351,500",500,-0.14%,500,"309,560","88,068",31.68,"445,748",-200.86,-5.81,
10,삼성SDI,"412,000","2,000",+0.49%,"5,000","283,310","68,765",41.63,"291,875",151.36,2.94,
11,LG생활건강,"1,419,000","1,000",+0.07%,"5,000","221,622","15,618",45.41,"14,824",32.36,20.32,
12,현대모비스,"222,000","1,000",+0.45%,"5,000","211,021","95,055",43.90,"298,171",12.09,7.28,
13,삼성물산,"102,500",500,+0.49%,100,"191,559","186,887",14.12,"285,031",17.91,4.77,
14,SK텔레콤,"231,000",500,+0.22%,500,"186,523","80,746",35.96,"161,806",18.96,3.92,
15,기아차,"44,000",550,-1.23%,"5,000","178,360","405,363",38.92,"1,757,304",16.76,6.50,
16,엔씨소프트,"784,000","3,000",-0.38%,500,"172,120","21,954",48.92,"67,688",33.02,14.72,
17,POSCO,"194,000","6,000",+3.19%,"5,000","169,142","87,187",51.47,"345,100",18.44,4.18,
18,KB금융,"38,200","1,000",+2.69%,"5,000","158,839","415,808",65.63,"1,906,636",5.00,8.92,
19,LG전자,"92,900","3,400",+3.80%,"5,000","152,029","163,648",34.49,"1,621,115",37.28,0.22,
20,넷마블,"166,000","1,500",-0.90%,100,"142,474","85,828",22.34,"690,691",68.68,3.54,
21,SK,"191,000","1,500",+0.79%,200,"134,388","70,360",21.93,"135,143",-368.02,4.31,
22,신한지주,"27,350",150,+0.55%,"5,000","130,568","477,397",60.24,"1,820,323",4.11,9.09,
23,SK이노베이션,"140,500","2,000",+1.44%,"5,000","129,914","92,466",23.72,"516,367",-5.75,-0.20,
24,삼성에스디에스,"166,500","1,000",-0.60%,500,"128,834","77,378",12.12,"82,618",24.72,11.76,
25,한국전력,"19,700",50,-0.25%,"5,000","126,467","641,964",17.48,"1,791,225",-13.73,-3.42,
26,LG,"72,100",100,-0.14%,"5,000","124,414","172,557",34.99,"243,092",15.39,5.87,
27,SK바이오팜,"158,500",500,-0.31%,500,"124,126","78,313",1.98,"131,804",-144.09,-313.66,
28,삼성생명,"57,900",100,+0.17%,500,"115,800","200,000",12.32,"375,880",12.88,3.26,
29,KT&G,"80,500",100,+0.12%,"5,000","110,520","137,292",41.99,"217,274",10.76,12.39,
30,삼성전기,"135,500","4,500",+3.44%,"5,000","101,210","74,694",32.86,"552,322",41.71,10.18,
31,아모레퍼시픽,"159,500",0,0.00%,500,"93,241","58,458",30.54,"98,608",80.19,5.36,
32,삼성화재,"178,500","4,000",-2.19%,500,"84,564","47,375",47.02,"74,844",13.64,4.85,
33,하나금융지주,"27,550",0,0.00%,"5,000","82,717","300,242",64.04,"1,071,146",3.27,8.77,
34,신풍제약,"136,000","14,000",-9.33%,500,"72,060","52,985",9.57,"3,783,926","4,121.21",0.80,
35,고려아연,"364,500","1,500",+0.41%,"5,000","68,781","18,870",24.14,"31,085",12.50,9.76,
36,롯데케미칼,"196,000","2,000",-1.01%,"5,000","67,180","34,275",29.55,"132,085",37.40,5.51,
37,한온시스템,"11,650",350,-2.92%,100,"62,188","533,800",20.83,"1,522,325",37.34,14.98,
38,우리금융지주,"8,240",160,+1.98%,"5,000","59,515","722,268",25.97,"1,017,834",4.35,N/A,
39,CJ제일제당,"390,000","2,500",+0.65%,"5,000","58,711","15,054",22.91,"37,262",9.82,3.16,
40,KT,"22,400",0,0.00%,"5,000","58,489","261,112",45.05,"568,570",9.76,4.61,
41,기업은행,"7,850",60,+0.77%,"5,000","57,985","738,664",10.90,"995,715",3.76,7.36,
42,S-Oil,"50,900",600,+1.19%,"2,500","57,305","112,583",73.48,"194,294",-7.00,1.01,
43,코웨이,"77,200","2,800",+3.76%,500,"56,973","73,800",60.90,"147,914",16.23,30.74,
44,한국조선해양,"79,700","2,000",+2.57%,"5,000","56,406","70,773",15.73,"189,625",53.60,1.40,
45,한화솔루션,"35,150","1,950",-5.26%,"5,000","56,192","159,864",20.01,"6,192,733",-33.93,-4.02,
46,미래에셋대우,"8,350",20,-0.24%,"5,000","53,884","645,316",13.67,"1,845,800",9.94,7.56,
47,LG디스플레이,"14,950",150,-0.99%,"5,000","53,493","357,816",22.09,"1,632,493",-1.84,-22.35,
48,현대글로비스,"139,500",0,0.00%,500,"52,312","37,500",35.34,"107,669",9.51,11.25,
49,오리온,"128,000",0,0.00%,500,"50,606","39,536",44.32,"102,737",19.10,14.24,
50,포스코케미칼,"78,000",300,+0.39%,500,"47,571","60,988",7.35,"418,118",91.98,11.57,
